pcode1,pcode2,pcode3,match_shape,TF
VE10,VE1004,VE100404,VE100404,TRUE
VE10,VE1004,VE100405,VE100405,TRUE
VE10,VE1004,VE100406,VE100406,TRUE
VE10,VE1004,VE100407,VE100407,TRUE
VE10,VE1004,VE100408,VE100408,TRUE
VE11,VE1105,VE110501,VE110501,TRUE
VE11,VE1105,VE110504,VE110504,TRUE
VE11,VE1106,VE110601,VE110601,TRUE
VE11,VE1106,VE110603,VE110603,TRUE
VE11,VE1106,VE110604,VE110604,TRUE
VE11,VE1110,VE111001,VE111001,TRUE
VE11,VE1110,VE111003,VE111003,TRUE
VE11,VE1111,VE111101,VE111101,TRUE
VE11,VE1112,VE111201,VE111201,TRUE
VE11,VE1114,VE111401,VE111401,TRUE
VE11,VE1114,VE111402,VE111402,TRUE
VE11,VE1114,VE111403,VE111403,TRUE
VE11,VE1116,VE111601,VE111601,TRUE
VE11,VE1117,VE111703,VE111703,TRUE
VE11,VE1124,VE112401,VE112401,TRUE
VE12,VE1203,VE120301,VE120301,TRUE
VE12,VE1205,VE120501,VE120501,TRUE
VE12,VE1207,VE120701,VE120701,TRUE
VE12,VE1208,VE120801,VE120801,TRUE
VE12,VE1208,VE120803,VE120803,TRUE
VE12,VE1209,VE120901,VE120901,TRUE
VE12,VE1210,VE121001,VE121001,TRUE
VE12,VE1210,VE121003,VE121003,TRUE
VE12,VE1211,VE121101,VE121101,TRUE
VE12,VE1212,VE121201,VE121201,TRUE
VE12,VE1215,VE121501,VE121501,TRUE
VE12,VE1215,VE121502,VE121502,TRUE
VE13,VE1301,VE130101,VE130101,TRUE
VE13,VE1301,VE130102,VE130102,TRUE
VE13,VE1302,VE130201,VE130201,TRUE
VE13,VE1302,VE130202,VE130202,TRUE
VE13,VE1303,VE130301,VE130301,TRUE
VE13,VE1303,VE130302,VE130302,TRUE
VE13,VE1303,VE130303,VE130303,TRUE
VE13,VE1303,VE130304,VE130304,TRUE
VE13,VE1303,VE130305,VE130305,TRUE
VE13,VE1303,VE130306,VE130306,TRUE
VE13,VE1303,VE130307,VE130307,TRUE
VE13,VE1303,VE130308,VE130308,TRUE
VE13,VE1303,VE130310,VE130310,TRUE
VE13,VE1304,VE130401,VE130401,TRUE
VE13,VE1304,VE130406,VE130406,TRUE
VE13,VE1304,VE130408,VE130408,TRUE
VE13,VE1305,VE130501,VE130501,TRUE
VE13,VE1306,VE130601,VE130601,TRUE
VE13,VE1306,VE130602,VE130602,TRUE
VE13,VE1306,VE130603,VE130603,TRUE
VE13,VE1307,VE130701,VE130701,TRUE
VE13,VE1307,VE130703,VE130703,TRUE
VE13,VE1308,VE130801,VE130801,TRUE
VE13,VE1308,VE130802,VE130802,TRUE
VE13,VE1308,VE130803,VE130803,TRUE
VE13,VE1308,VE130804,VE130804,TRUE
VE13,VE1308,VE130805,VE130805,TRUE
VE13,VE1308,VE130806,VE130806,TRUE
VE13,VE1308,VE130810,VE130810,TRUE
VE13,VE1308,VE130811,VE130811,TRUE
VE13,VE1308,VE130813,VE130813,TRUE
VE13,VE1309,VE130901,VE130901,TRUE
VE14,VE1401,VE140101,VE140101,TRUE
VE14,VE1401,VE140102,VE140102,TRUE
VE14,VE1401,VE140103,VE140103,TRUE
VE14,VE1401,VE140104,VE140104,TRUE
VE14,VE1401,VE140105,VE140105,TRUE
VE14,VE1401,VE140107,VE140107,TRUE
VE14,VE1402,VE140201,VE140201,TRUE
VE14,VE1403,VE140301,VE140301,TRUE
VE14,VE1403,VE140302,VE140302,TRUE
VE14,VE1405,VE140501,VE140501,TRUE
VE14,VE1405,VE140503,VE140503,TRUE
VE14,VE1405,VE140506,VE140506,TRUE
VE14,VE1405,VE140507,VE140507,TRUE
VE14,VE1406,VE140601,VE140601,TRUE
VE14,VE1406,VE140602,VE140602,TRUE
VE14,VE1406,VE140603,VE140603,TRUE
VE14,VE1406,VE140606,VE140606,TRUE
VE14,VE1407,VE140701,VE140701,TRUE
VE14,VE1407,VE140702,VE140702,TRUE
VE14,VE1408,VE140801,VE140801,TRUE
VE14,VE1408,VE140802,VE140802,TRUE
VE14,VE1412,VE141201,VE141201,TRUE
VE14,VE1412,VE141202,VE141202,TRUE
VE14,VE1412,VE141203,VE141203,TRUE
VE14,VE1412,VE141204,VE141204,TRUE
VE14,VE1412,VE141205,VE141205,TRUE
VE14,VE1412,VE141206,VE141206,TRUE
VE14,VE1412,VE141207,VE141207,TRUE
VE14,VE1412,VE141209,VE141209,TRUE
VE14,VE1412,VE141210,VE141210,TRUE
VE14,VE1412,VE141211,VE141211,TRUE
VE14,VE1412,VE141212,VE141212,TRUE
VE14,VE1412,VE141213,VE141213,TRUE
VE14,VE1412,VE141214,VE141214,TRUE
VE14,VE1412,VE141215,VE141215,TRUE
VE14,VE1413,VE141302,VE141302,TRUE
VE14,VE1413,VE141303,VE141303,TRUE
VE14,VE1413,VE141304,VE141304,TRUE
VE14,VE1414,VE141403,VE141403,TRUE
VE14,VE1415,VE141501,VE141501,TRUE
VE14,VE1417,VE141701,VE141701,TRUE
VE14,VE1417,VE141705,VE141705,TRUE
VE14,VE1418,VE141801,VE141801,TRUE
VE14,VE1419,VE141900,VE141900,TRUE
VE14,VE1420,VE142001,VE142001,TRUE
VE14,VE1420,VE142002,VE142002,TRUE
VE14,VE1420,VE142006,VE142006,TRUE
VE14,VE1423,VE142301,VE142301,TRUE
VE15,VE1501,VE150101,VE150101,TRUE
VE15,VE1501,VE150106,VE150106,TRUE
VE15,VE1502,VE150201,VE150201,TRUE
VE15,VE1503,VE150301,VE150301,TRUE
VE15,VE1503,VE150302,VE150302,TRUE
VE15,VE1503,VE150303,VE150303,TRUE
VE15,VE1504,VE150401,VE150401,TRUE
VE15,VE1505,VE150501,VE150501,TRUE
VE15,VE1506,VE150601,VE150601,TRUE
VE15,VE1507,VE150701,VE150701,TRUE
VE15,VE1508,VE150801,VE150801,TRUE
VE15,VE1508,VE150802,VE150802,TRUE
VE15,VE1509,VE150901,VE150901,TRUE
VE15,VE1510,VE151001,VE151001,TRUE
VE15,VE1510,VE151002,VE151002,TRUE
VE15,VE1510,VE151003,VE151003,TRUE
VE15,VE1510,VE151004,VE151004,TRUE
VE15,VE1510,VE151006,VE151006,TRUE
VE15,VE1511,VE151101,VE151101,TRUE
VE15,VE1511,VE151102,VE151102,TRUE
VE15,VE1512,VE151201,VE151201,TRUE
VE15,VE1512,VE151202,VE151202,TRUE
VE15,VE1512,VE151203,VE151203,TRUE
VE15,VE1513,VE151301,VE151301,TRUE
VE15,VE1514,VE151401,VE151401,TRUE
VE15,VE1514,VE151403,VE151403,TRUE
VE15,VE1515,VE151501,VE151501,TRUE
VE15,VE1516,VE151601,VE151601,TRUE
VE15,VE1517,VE151701,VE151701,TRUE
VE15,VE1518,VE151801,VE151801,TRUE
VE15,VE1518,VE151802,VE151802,TRUE
VE15,VE1519,VE151901,VE151901,TRUE
VE15,VE1519,VE151902,VE151902,TRUE
VE15,VE1519,VE151903,VE151903,TRUE
VE15,VE1519,VE151904,VE151904,TRUE
VE15,VE1519,VE151905,VE151905,TRUE
VE15,VE1520,VE152001,VE152001,TRUE
VE15,VE1520,VE152002,VE152002,TRUE
VE15,VE1521,VE152101,VE152101,TRUE
VE15,VE1521,VE152102,VE152102,TRUE
VE16,VE1601,VE160101,VE160101,TRUE
VE16,VE1601,VE160102,VE160102,TRUE
VE16,VE1604,VE160401,VE160401,TRUE
VE16,VE1606,VE160601,VE160601,TRUE
VE16,VE1608,VE160801,VE160801,TRUE
VE16,VE1608,VE160802,VE160802,TRUE
VE16,VE1608,VE160803,VE160803,TRUE
VE16,VE1608,VE160804,VE160804,TRUE
VE16,VE1608,VE160805,VE160805,TRUE
VE16,VE1608,VE160806,VE160806,TRUE
VE16,VE1608,VE160807,VE160807,TRUE
VE16,VE1608,VE160809,VE160809,TRUE
VE16,VE1608,VE160810,VE160810,TRUE
VE16,VE1608,VE160811,VE160811,TRUE
VE16,VE1609,VE160906,VE160906,TRUE
VE16,VE1610,VE161001,VE161001,TRUE
VE17,VE1701,VE170101,VE170101,TRUE
VE17,VE1702,VE170200,VE170200,TRUE
VE17,VE1703,VE170301,VE170301,TRUE
VE17,VE1703,VE170302,VE170302,TRUE
VE17,VE1704,VE170401,VE170401,TRUE
VE17,VE1704,VE170402,VE170402,TRUE
VE17,VE1705,VE170501,VE170501,TRUE
VE17,VE1705,VE170502,VE170502,TRUE
VE17,VE1705,VE170503,VE170503,TRUE
VE17,VE1705,VE170504,VE170504,TRUE
VE17,VE1705,VE170505,VE170505,TRUE
VE17,VE1706,VE170601,VE170601,TRUE
VE17,VE1706,VE170602,VE170602,TRUE
VE17,VE1707,VE170701,VE170701,TRUE
VE17,VE1707,VE170702,VE170702,TRUE
VE17,VE1708,VE170801,VE170801,TRUE
VE17,VE1709,VE170901,VE170901,TRUE
VE17,VE1709,VE170902,VE170902,TRUE
VE17,VE1710,VE171001,VE171001,TRUE
VE17,VE1710,VE171002,VE171002,TRUE
VE17,VE1711,VE171101,VE171101,TRUE
VE17,VE1711,VE171102,VE171102,TRUE
VE18,VE1801,VE180101,VE180101,TRUE
VE18,VE1802,VE180201,VE180201,TRUE
VE18,VE1804,VE180401,VE180401,TRUE
VE18,VE1804,VE180404,VE180404,TRUE
VE18,VE1804,VE180405,VE180405,TRUE
VE18,VE1805,VE180501,VE180501,TRUE
VE18,VE1806,VE180601,VE180601,TRUE
VE18,VE1807,VE180701,VE180701,TRUE
VE18,VE1808,VE180801,VE180801,TRUE
VE18,VE1809,VE180901,VE180901,TRUE
VE18,VE1810,VE181001,VE181001,TRUE
VE18,VE1811,VE181101,VE181101,TRUE
VE18,VE1813,VE181302,VE181302,TRUE
VE18,VE1814,VE181401,VE181401,TRUE
VE19,VE1904,VE190406,VE190406,TRUE
VE19,VE1905,VE190501,VE190501,TRUE
VE19,VE1905,VE190503,VE190503,TRUE
VE19,VE1907,VE190701,VE190701,TRUE
VE19,VE1912,VE191202,VE191202,TRUE
VE19,VE1914,VE191401,VE191401,TRUE
VE19,VE1914,VE191402,VE191402,TRUE
VE19,VE1914,VE191404,VE191404,TRUE
VE19,VE1914,VE191405,VE191405,TRUE
VE19,VE1915,VE191501,VE191501,TRUE
VE20,VE2001,VE200101,VE200101,TRUE
VE20,VE2002,VE200201,VE200201,TRUE
VE20,VE2003,VE200301,VE200301,TRUE
VE20,VE2003,VE200302,VE200302,TRUE
VE20,VE2003,VE200303,VE200303,TRUE
VE20,VE2004,VE200401,VE200401,TRUE
VE20,VE2004,VE200402,VE200402,TRUE
VE20,VE2004,VE200403,VE200403,TRUE
VE20,VE2004,VE200404,VE200404,TRUE
VE20,VE2005,VE200501,VE200501,TRUE
VE20,VE2005,VE200502,VE200502,TRUE
VE20,VE2005,VE200503,VE200503,TRUE
VE20,VE2006,VE200601,VE200601,TRUE
VE20,VE2007,VE200701,VE200701,TRUE
VE20,VE2007,VE200702,VE200702,TRUE
VE20,VE2007,VE200703,VE200703,TRUE
VE20,VE2008,VE200801,VE200801,TRUE
VE20,VE2009,VE200901,VE200901,TRUE
VE20,VE2009,VE200902,VE200902,TRUE
VE20,VE2009,VE200903,VE200903,TRUE
VE20,VE2010,VE201001,VE201001,TRUE
VE20,VE2011,VE201101,VE201101,TRUE
VE20,VE2012,VE201201,VE201201,TRUE
VE20,VE2013,VE201300,VE201300,TRUE
VE20,VE2014,VE201401,VE201401,TRUE
VE20,VE2014,VE201402,VE201402,TRUE
VE20,VE2014,VE201404,VE201404,TRUE
VE20,VE2015,VE201501,VE201501,TRUE
VE20,VE2016,VE201601,VE201601,TRUE
VE20,VE2016,VE201602,VE201602,TRUE
VE20,VE2016,VE201604,VE201604,TRUE
VE20,VE2017,VE201701,VE201701,TRUE
VE20,VE2017,VE201702,VE201702,TRUE
VE20,VE2018,VE201800,VE201800,TRUE
VE20,VE2019,VE201901,VE201901,TRUE
VE20,VE2020,VE202001,VE202001,TRUE
VE20,VE2020,VE202002,VE202002,TRUE
VE20,VE2021,VE202100,VE202100,TRUE
VE20,VE2022,VE202201,VE202201,TRUE
VE20,VE2022,VE202202,VE202202,TRUE
VE20,VE2022,VE202203,VE202203,TRUE
VE20,VE2023,VE202301,VE202301,TRUE
VE20,VE2023,VE202302,VE202302,TRUE
VE20,VE2023,VE202303,VE202303,TRUE
VE20,VE2023,VE202304,VE202304,TRUE
VE20,VE2024,VE202401,VE202401,TRUE
VE20,VE2026,VE202601,VE202601,TRUE
VE20,VE2026,VE202603,VE202603,TRUE
VE20,VE2027,VE202701,VE202701,TRUE
VE20,VE2028,VE202801,VE202801,TRUE
VE20,VE2028,VE202803,VE202803,TRUE
VE21,VE2101,VE210101,VE210101,TRUE
VE21,VE2102,VE210201,VE210201,TRUE
VE21,VE2102,VE210205,VE210205,TRUE
VE21,VE2102,VE210211,VE210211,TRUE
VE21,VE2102,VE210212,VE210212,TRUE
VE21,VE2104,VE210401,VE210401,TRUE
VE21,VE2104,VE210402,VE210402,TRUE
VE21,VE2104,VE210403,VE210403,TRUE
VE21,VE2104,VE210404,VE210404,TRUE
