pcode3,beneficiarios,educacion_ben,nutricion_ben,proteccionGBV_ben,proteccionGeneral_ben,proteccionNNA_ben,salud_ben,seguridad_alimentaria_ben,wash_ben,org_count,estado,pcode1,municipio,pcode2,parroquia,fo,poblacion_2019,ham_2019_ambitos_ge,percent_pobre,pob_pobre,percent_urbana,area_km2,densidad_ppl_km2,razon_de_dependencia_total,razon_de_dependencia_de_menores_de_15_anos,percent_sin_agua_segura,percent_sin_saneamiento_mejorado,percent_analfabeto,promedio_de_personas_por_vivienda,percent_hogares_jefatura_femenina,percent_sin_servicio_electrico,ham_2019_x_violencia_envelope,ham_2019_x_mortalidad_y_salud_envelope,ham_2019_x_pobreza_envelope,promedio_de_edad,pob_menor_de_18,pob_18_y_mas,hogares_2019,matricula_total,pob_analfabeto,pob_sin_agua_segura,pob_sin_servicio_electrico,pob_sin_saneamiento_mejorado,pob_urbana,not_covered_pobre,coverage_percent,coverage_pobre_percent,percent_total_ben,org_present,pob_pobre_score,percent_pobre_score,poverty_score,gap_score
VE010122,1967,1611,356,0,0,0,1644,0,0,5,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,23 DE ENERO,Caracas,83117.6814704041,GRAN CARACAS,0.1112361082630171,9245.687414612841,1,2.13557072882,38920.59408228095,0.4182,0.2907,0.0016,8e-4,0.0126,3.97,0.4902,4e-4,0.8730914467352194,0.28271811240005584,0.1630146801336042,34.01,21072.799647718686,62044.88182268542,21667.08075359805,12391,1047.2827865270917,132.98829035264657,33.24707258816164,66.49414517632329,83117.6814704041,7278.687414612841,0.02366524144084065,0.2127478371041562,0.0014968535066304635,TRUE,0.04926693435019036,0.06033560619693846,0.054801270273564406,0.04967691718548821
VE020100,116,116,0,0,0,0,113,0,0,2,AMAZONAS,VE02,ALTO ORINOCO,VE0201,AUTONOMO ALTO ORINOCO,Tachira,15734,RESTO,0.9234912502559726,14530.211331527473,0,46010.8782086,0.34196260998685135,0.8764975595326134,0.8473598580091702,0.9756608571428571,0.96379,0.5478760185020946,4.603272727272727,0.1921439285714286,0.6827903928571429,0.5138997486326706,0.29985641535014057,0.9234912502559726,20.670956885000393,8030.081973673839,7703.9180263261605,3472.4678805076064,3287,8620.281275111956,15351.047926285713,10743.024041214287,15164.27186,0,14414.211331527473,0.007372568958942418,0.007983366336063167,8.827402479366231e-5,TRUE,0.07755714204674663,0.9199845025208697,0.4987708222838082,0.4987398178728731
VE020200,17,17,0,0,0,0,199,0,0,2,AMAZONAS,VE02,ATABAPO,VE0202,AUTONOMO ATABAPO,Tachira,11655,RESTO,0.6280594931630868,7320.033392815777,0.4581,25115.5570192,0.46405500746370637,0.7773,0.7236,0.6248,0.7023,0.1183,4.95,0.1673,0.0862,0.2379130357609888,0.2077912060696368,0.6280594931630868,23.18,5568.824844585015,6086.175155414985,2347.778928999891,2835,1378.7865,7282.044,1004.661,8185.306500000001,5339.1555,7303.033392815777,0.0014586014586014586,0.00232239377714924,1.2936710530105683e-5,TRUE,0.038958124496198,0.6073147873119242,0.3231364559040611,0.3232321481852662
VE020300,4552.25,1052,2145.25,0,0,420,31498,0,945,5,AMAZONAS,VE02,ATURES,VE0203,AUTONOMO ATURES,Tachira,144111,CIUD MED Y PEQ ORIEN,0.495950901946541,71471.98043041797,0.8070192270790958,7129.00384764,20.2147457176232,0.609301176543248,0.5577772287928852,0.48014660202221116,0.2062810044753854,0.06765347949173876,4.415903573406022,0.360385611755213,0.01409133930051384,0.40418958081263007,0.4923070387038205,0.495950901946541,24.851228268795335,59427.74389799286,84683.25610200714,33366.145872510264,38392,9749.610583033966,69194.40696402287,2030.71699793635,29727.361835952262,116300.34783359557,66919.73043041797,0.03158849775520259,0.06369279223250116,0.0034641847359219765,TRUE,0.38238961129924304,0.4674978766358476,0.4249437439675453,0.41405933174844833
VE020600,37,37,0,0,0,0,21,0,0,2,AMAZONAS,VE02,MANAPIARE,VE0206,AUTONOMO MANAPIARE,Tachira,9822,RESTO,0.7432431048915423,7300.133776244728,0,35205.0324708,0.2789942036879708,0.9101,0.8586,0.8586999999999999,0.883,0.35,4.95,0.1971,0.3685,0.44435212841240174,0.30193921430418474,0.7432431048915423,21.34,5106.421516526248,4715.578483473752,1983.496565132858,2807,3437.7,8434.151399999999,3619.407,8672.826000000001,0,7263.133776244728,0.003767053553247811,0.00506840026965002,2.8156369977288843e-5,TRUE,0.03885159374816319,0.7292191737267901,0.38403538373747664,0.38407676598714763
VE030201,289.25,0,305,0,0,0,4803,0,0,2,ANZOATEGUI,VE03,ARAGUA,VE0302,CAPITAL ARAGUA,Bolivar,33399.67834613275,CIUD MED Y PEQ ORIEN,0.45289195472047544,15126.445613215197,0.7994,2261.43844526,14.76921842207947,0.4879,0.3897,0.25300000000000006,0.18109999999999998,0.0662,3.8,0.3834,0.0182,0.2062357445783395,0.0509064356731678,0.4522610469219809,30.2,10932.448710916075,22467.229635216678,9077.836876028525,6596,2211.058706513988,8450.118621571588,607.8741458996161,6048.681748484641,26699.70286989852,14837.195613215197,0.00866026304212871,0.019122139291420658,2.201143247548864e-4,TRUE,0.08074902686550262,0.421926510514439,0.2513377686899708,0.2508512515167307
VE030301,152,0,65,0,0,0,5727,0,0,4,ANZOATEGUI,VE03,FERNANDO DE PENALVER,VE0303,PUERTO PIRITU,Bolivar,36116.520890032,CIUD MED Y PEQ ORIEN,0.4058488130776491,14657.847135713606,0.9254000000000001,343.930284108,105.01116813165191,0.4844,0.41350000000000003,0.096,0.0446,0.0199,3.78,0.36460000000000004,0.0017000000000000001,0.2925574874224922,0.045270238820218765,0.42496571072061895,29.03,12058.530908873403,24057.989981158596,9770.481771690043,9088,718.7187657116368,3467.186005443072,61.398085513054404,1610.7968316954273,33422.228431635616,14505.847135713606,0.004208600281926694,0.010369872095995221,1.15669411798592e-4,TRUE,0.0782404284632174,0.372138478771555,0.22518945361738618,0.2250638699964576
VE030401,480,0,347,0,0,0,2790,0,0,3,ANZOATEGUI,VE03,FERNANDO DEL C. CARVAJAL,VE0304,VALLE DE GUANAPE,Bolivar,14903.149525694396,RESTO,0.4432233365274982,6605.423657546472,0.8194,159.741161276,93.2956127691147,0.6325,0.5403,0.0735,0.14520000000000002,0.0666,4.43,0.3763,0.0102,0.2801144435599276,0.09398135588844196,0.4685540516967383,27.21,5944.670033440251,8958.479492254146,3543.5763324916397,3776,992.5497584112469,1095.381490138538,152.01212516208284,2163.937311130827,12211.640721353988,6125.423657546472,0.032207957061186024,0.07266755697821385,3.652718267323958e-4,TRUE,0.035132527687365106,0.41169374431959915,0.22341313600348212,0.22224661259774225
VE030402,34,0,34,0,0,0,0,0,0,1,ANZOATEGUI,VE03,FERNANDO DEL C. CARVAJAL,VE0304,SANTA BARBARA,Bolivar,1302.8504743056028,RESTO,0.7583090490698374,987.9633042508683,0,19.1189443821,68.14447744957033,0.7147,0.623,0.20090000000000002,0.35609999999999997,0.1475,4.46,0.1917,0.0417,0.2801144435599276,0.09398135588844196,0.4685540516967383,25.35,585.0661298027708,717.7843445028321,294.1920425851361,510,192.1704449600764,261.74266028799565,54.32886477854364,463.9450539002251,0,953.9633042508683,0.02609662480118559,0.034414233660005004,2.5873421060211367e-5,TRUE,0.005059975718542179,0.745164191019228,0.37511208336888513,0.3750387960737607
VE030501,229,0,58,0,0,0,6765,0,0,3,ANZOATEGUI,VE03,FRANCISCO DE MIRANDA,VE0305,PARIAGUAN,Bolivar,40678.472448057815,CIUD MED Y PEQ ORIEN,0.49552955252502506,20157.38524958765,0.9776,418.897292773,97.10846345837197,0.5022,0.4322,0.23940000000000006,0.0525,0.050199999999999995,3.66,0.4164,0.0053,0.33149372057894116,0.08473900422376791,0.49243672444610315,27.98,14260.563986750978,26417.908461306833,11275.59349593496,10688,2042.059316892502,9738.426304065044,215.59590397470643,2135.6198035230354,39767.274665221325,19928.38524958765,0.005629513258945729,0.011360600453111078,1.7426510067024715e-4,TRUE,0.10768169468185174,0.4670519421671729,0.2873668184245123,0.2871405852141523
